Descrição,data,ano_mes,valor
Ouro monetário e DSE,2011-01-01,2011-01,83950.76161274
Ouro monetário e DSE,2011-02-01,2011-02,83950.76161274
Ouro monetário e DSE,2011-03-01,2011-03,83950.76161274
Ouro monetário e DSE,2011-04-01,2011-04,83950.76161274
Ouro monetário e DSE,2011-05-01,2011-05,83950.76161274
Ouro monetário e DSE,2011-06-01,2011-06,83950.76161274
Ouro monetário e DSE,2011-07-01,2011-07,83950.76161274
Ouro monetário e DSE,2011-08-01,2011-08,83950.76161274
Ouro monetário e DSE,2011-09-01,2011-09,83950.76161274
Ouro monetário e DSE,2011-10-01,2011-10,83950.76161274
Ouro monetário e DSE,2011-11-01,2011-11,83950.76161274
Ouro monetário e DSE,2011-12-01,2011-12,83950.76161274
Ouro monetário e DSE,2012-01-01,2012-01,83955.63601073
Ouro monetário e DSE,2012-02-01,2012-02,83955.63601073
Ouro monetário e DSE,2012-03-01,2012-03,83955.63601073
Ouro monetário e DSE,2012-04-01,2012-04,83955.63601073
Ouro monetário e DSE,2012-05-01,2012-05,83955.63601073
Ouro monetário e DSE,2012-06-01,2012-06,83955.63601073
Ouro monetário e DSE,2012-07-01,2012-07,83955.63601073
Ouro monetário e DSE,2012-08-01,2012-08,83955.63601073
Ouro monetário e DSE,2012-09-01,2012-09,83955.63601073
Ouro monetário e DSE,2012-10-01,2012-10,83955.63601073
Ouro monetário e DSE,2012-11-01,2012-11,83955.63601073
Ouro monetário e DSE,2012-12-01,2012-12,83955.63601073
Ouro monetário e DSE,2013-01-01,2013-01,131162.9421550269
Ouro monetário e DSE,2013-02-01,2013-02,131162.9421550269
Ouro monetário e DSE,2013-03-01,2013-03,131162.9421550269
Ouro monetário e DSE,2013-04-01,2013-04,131162.9421550269
Ouro monetário e DSE,2013-05-01,2013-05,131162.9421550269
Ouro monetário e DSE,2013-06-01,2013-06,131162.9421550269
Ouro monetário e DSE,2013-07-01,2013-07,131162.9421550269
Ouro monetário e DSE,2013-08-01,2013-08,131162.9421550269
Ouro monetário e DSE,2013-09-01,2013-09,131162.9421550269
Ouro monetário e DSE,2013-10-01,2013-10,131162.9421550269
Ouro monetário e DSE,2013-11-01,2013-11,131162.9421550269
Ouro monetário e DSE,2013-12-01,2013-12,131162.9421550269
Ouro monetário e DSE,2014-01-01,2014-01,106356.08976481
Ouro monetário e DSE,2014-02-01,2014-02,106356.08976481
Ouro monetário e DSE,2014-03-01,2014-03,106356.08976481
Ouro monetário e DSE,2014-04-01,2014-04,106356.08976481
Ouro monetário e DSE,2014-05-01,2014-05,106356.08976481
Ouro monetário e DSE,2014-06-01,2014-06,106356.08976481
Ouro monetário e DSE,2014-07-01,2014-07,106356.08976481
Ouro monetário e DSE,2014-08-01,2014-08,106356.08976481
Ouro monetário e DSE,2014-09-01,2014-09,106356.08976481
Ouro monetário e DSE,2014-10-01,2014-10,106356.08976481
Ouro monetário e DSE,2014-11-01,2014-11,106356.08976481
Ouro monetário e DSE,2014-12-01,2014-12,106356.08976481
Ouro monetário e DSE,2015-01-01,2015-01,114346.34961249001
Ouro monetário e DSE,2015-02-01,2015-02,114346.34961249001
Ouro monetário e DSE,2015-03-01,2015-03,114346.34961249001
Ouro monetário e DSE,2015-04-01,2015-04,114346.34961249001
Ouro monetário e DSE,2015-05-01,2015-05,114346.34961249001
Ouro monetário e DSE,2015-06-01,2015-06,114346.34961249001
Ouro monetário e DSE,2015-07-01,2015-07,114346.34961249001
Ouro monetário e DSE,2015-08-01,2015-08,114346.34961249001
Ouro monetário e DSE,2015-09-01,2015-09,114346.34961249001
Ouro monetário e DSE,2015-10-01,2015-10,114346.34961249001
Ouro monetário e DSE,2015-11-01,2015-11,114346.34961249001
Ouro monetário e DSE,2015-12-01,2015-12,114346.34961249001
Ouro monetário e DSE,2016-01-01,2016-01,133032.69047732
Ouro monetário e DSE,2016-02-01,2016-02,133032.69047732
Ouro monetário e DSE,2016-03-01,2016-03,133032.69047732
Ouro monetário e DSE,2016-04-01,2016-04,133032.69047732
Ouro monetário e DSE,2016-05-01,2016-05,133032.69047732
Ouro monetário e DSE,2016-06-01,2016-06,133032.69047732
Ouro monetário e DSE,2016-07-01,2016-07,133032.69047732
Ouro monetário e DSE,2016-08-01,2016-08,133032.69047732
Ouro monetário e DSE,2016-09-01,2016-09,133032.69047732
Ouro monetário e DSE,2016-10-01,2016-10,133032.69047732
Ouro monetário e DSE,2016-11-01,2016-11,133032.69047732
Ouro monetário e DSE,2016-12-01,2016-12,133032.69047732
Ouro monetário e DSE,2017-01-01,2017-01,172704.89573311
Ouro monetário e DSE,2017-02-01,2017-02,172704.89573311
Ouro monetário e DSE,2017-03-01,2017-03,172704.89573311
Ouro monetário e DSE,2017-04-01,2017-04,172704.89573311
Ouro monetário e DSE,2017-05-01,2017-05,172704.89573311
Ouro monetário e DSE,2017-06-01,2017-06,172704.89573311
Ouro monetário e DSE,2017-07-01,2017-07,172704.89573311
Ouro monetário e DSE,2017-08-01,2017-08,172704.89573311
Ouro monetário e DSE,2017-09-01,2017-09,172704.89573311
Ouro monetário e DSE,2017-10-01,2017-10,172704.89573311
Ouro monetário e DSE,2017-11-01,2017-11,172704.89573311
Ouro monetário e DSE,2017-12-01,2017-12,172704.89573311
Ouro monetário e DSE,2018-01-01,2018-01,217503.95099426998
Ouro monetário e DSE,2018-02-01,2018-02,217503.95099426998
Ouro monetário e DSE,2018-03-01,2018-03,217503.95099426998
Ouro monetário e DSE,2018-04-01,2018-04,217503.95099426998
Ouro monetário e DSE,2018-05-01,2018-05,217503.95099426998
Ouro monetário e DSE,2018-06-01,2018-06,217503.95099426998
Ouro monetário e DSE,2018-07-01,2018-07,217503.95099426998
Ouro monetário e DSE,2018-08-01,2018-08,217503.95099426998
Ouro monetário e DSE,2018-09-01,2018-09,217503.95099426998
Ouro monetário e DSE,2018-10-01,2018-10,217503.95099426998
Ouro monetário e DSE,2018-11-01,2018-11,217503.95099426998
Ouro monetário e DSE,2018-12-01,2018-12,217503.95099426998
Ouro monetário e DSE,2019-01-01,2019-01,317923.51140973
Ouro monetário e DSE,2019-02-01,2019-02,317923.51140973
Ouro monetário e DSE,2019-03-01,2019-03,317923.51140973
Ouro monetário e DSE,2019-04-01,2019-04,317923.51140973
Ouro monetário e DSE,2019-05-01,2019-05,317923.51140973
Ouro monetário e DSE,2019-06-01,2019-06,317923.51140973
Ouro monetário e DSE,2019-07-01,2019-07,317923.51140973
Ouro monetário e DSE,2019-08-01,2019-08,317923.51140973
Ouro monetário e DSE,2019-09-01,2019-09,317923.51140973
Ouro monetário e DSE,2019-10-01,2019-10,317923.51140973
Ouro monetário e DSE,2019-11-01,2019-11,317923.51140973
Ouro monetário e DSE,2019-12-01,2019-12,317923.51140973
Ouro monetário e DSE,2020-01-01,2020-01,765213.22
Ouro monetário e DSE,2020-02-01,2020-02,765213.22
Ouro monetário e DSE,2020-03-01,2020-03,765213.22
Ouro monetário e DSE,2020-04-01,2020-04,765213.22
Ouro monetário e DSE,2020-05-01,2020-05,765213.22
Ouro monetário e DSE,2020-06-01,2020-06,765213.22
Ouro monetário e DSE,2020-07-01,2020-07,765213.22
Ouro monetário e DSE,2020-08-01,2020-08,765213.22
Ouro monetário e DSE,2020-09-01,2020-09,765213.22
Ouro monetário e DSE,2020-10-01,2020-10,765213.22
Ouro monetário e DSE,2020-11-01,2020-11,765213.22
Ouro monetário e DSE,2020-12-01,2020-12,765213.22
Ouro monetário e DSE,2021-01-01,2021-01,1021004.7858338
Ouro monetário e DSE,2021-02-01,2021-02,1021004.7858338
Ouro monetário e DSE,2021-03-01,2021-03,1021004.7858338
